Tipologie ISTAT utilizzate in IPA,Abruzzo,Basilicata,Calabria,Campania,Emilia Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino Alto Adige,Umbria,Valle D'Aosta,Veneto,Totale
Agenzie ed Enti per il Turismo,,,,,,1,,1,,,,1,,,,,,,,,3
Agenzie ed Enti Regionali del Lavoro,,,,,,,,,1,,,,,,,,,,,,1
Agenzie ed Enti Regionali di Sviluppo Agricolo,,,,,,,,,,,,,,,,1,,1,,1,3
Agenzie ed Enti Regionali per la Ricerca e per l'Ambiente,,,,2,2,1,1,1,1,,,1,,,,2,,1,1,1,14
Agenzie Fiscali,,,,,,,1,,,,,,,,,,,,,,1
Agenzie Regionali e Provinciale per la Rappresentanza Negoziale,,,,,,,,,,,,,,,,,,,,,0
Agenzie Regionali per le Erogazioni in Agricoltura,,1,,,,,,,,,,,1,,,1,,,,1,4
Agenzie Regionali Sanitarie,,,,1,,,,,,,,,,,,1,,,,,2
"Agenzie, Enti e Consorzi Pubblici per il Diritto allo Studio Universitario",,,,4,,,1,,,2,,,1,,1,1,,1,,1,12
Altri Enti Locali,,,,,1,,,,3,,,1,,2,2,3,5,1,,2,20
Automobile Club Federati ACI,4,2,1,4,7,3,5,4,8,4,2,7,4,,6,10,1,2,1,6,81
Autorita' Amministrative Indipendenti,,,,1,,,4,,,,,1,,,,,,,,,6
Autorita' di Ambito Territoriale Ottimale,,,,2,,,,,1,2,,5,,,,1,,1,,,12
Autorita' di Bacino,,1,,,1,,,,3,,,1,,,,,,,,1,7
Autorita' Portuali,,,,,1,,,,,,,,,,1,1,,,,,3
Aziende e Consorzi Pubblici Territoriali per l'Edilizia Residenziale,1,1,,1,2,,,2,,,2,4,4,,3,,1,,,,21
"Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici",,2,2,2,5,4,,2,31,,,6,1,1,1,2,,2,,1,62
Aziende Pubbliche di Servizi alla Persona,,,,,23,13,,4,1,1,,2,1,,,3,28,,,57,133
Aziende Sanitarie Locali,3,1,2,1,4,7,2,5,14,,,11,1,8,2,9,2,2,1,12,87
"Camere di Commercio, Industria, Artigianato e Agricoltura e loro Unioni Regionali",4,2,5,5,9,5,5,3,12,6,2,8,5,4,9,10,2,2,1,6,105
Comuni e loro Consorzi e Associazioni,213,79,212,263,290,168,223,180,1297,196,93,1046,155,301,231,246,187,70,70,494,6014
Comunita' Montane e loro Consorzi e Associazioni,2,1,1,5,,3,9,,21,6,,17,,2,,,13,2,8,14,104
Consorzi di Bacino Imbrifero Montano,1,,,,,2,,,1,1,,2,,1,,,2,1,1,2,14
Consorzi Interuniversitari di Ricerca,,,,,,,2,,,,,,,,,,,,,,2
Consorzi per l'Area di Sviluppo Industriale,,,,,,,,,,1,,,,,,,,,,,1
Consorzi tra Amministrazioni Locali,,,,,1,2,,,6,,,32,,1,1,,3,1,,4,51
Enti di Regolazione dei Servizi Idrici e/o dei Rifiuti,1,,,,1,,,,2,,,1,,1,1,,,1,,4,12
Enti e Istituzioni di Ricerca Pubblici,,,,,,,6,,,,,,,1,,1,,,,,8
Enti Nazionali di Previdenza ed Assistenza Sociale in Conto Economico Consolidato,,,,,,,2,,,,,,,,,,,,,,2
Enti Pubblici Nazionali Non Economici,,,1,,,,5,,,,,,,,,,,,,,6
"Enti Pubblici Produttori di Servizi Assistenziali, Ricreativi e Culturali",,,,,,,3,,,,,4,,,,1,1,,,3,12
"Federazioni Nazionali, Ordini, Collegi e Consigli Professionali",2,,5,2,8,3,6,3,12,4,3,3,3,,3,7,2,1,,13,80
"Fondazioni Lirico, Sinfoniche",,,,,,,,,,,,,,,,,,,,,0
Forze di Polizia ad Ordinamento Civile e Militare per la Tutela dell'Ordine e della Sicurezza Pubblica,,,,,,,1,,,,,,,,,,,,,,1
Gestori di Pubblici Servizi,2,,,4,8,2,1,3,17,2,1,11,,1,5,1,7,1,1,20,87
Istituti di Istruzione Statale di Ogni Ordine e Grado,171,130,249,551,431,130,516,140,870,214,34,402,453,278,670,406,98,136,22,454,6355
Istituti Zooprofilattici Sperimentali,1,,,,,,,,1,,,1,,1,,,,1,,,5
"Istituzioni per l'Alta Formazione Artistica, Musicale e Coreutica - AFAM",3,1,1,,4,,4,,5,5,,3,1,1,2,1,,1,,5,37
Organi Costituzionali e di Rilievo Costituzionale,,,,,,,2,,,,,,,,,,,,,,2
"Parchi Nazionali, Consorzi e Enti Gestori di Parchi e Aree Naturali Protette",,2,1,2,1,,8,7,16,1,,14,,1,,4,1,,,2,60
"Presidenza del Consiglio dei Ministri, Ministeri e Avvocatura dello Stato",,,,,,,10,,,,,,,,,,,,,,10
Province e loro Consorzi e Associazioni,4,2,2,5,7,4,4,4,12,4,2,8,6,8,7,9,,2,,7,97
"Regioni, Province Autonome e loro Consorzi e Associazioni",2,2,1,1,1,2,1,2,1,2,1,2,1,1,1,1,3,1,1,2,29
Societa' in Conto Economico Consolidato,1,,,,1,,3,,,,,1,,,,,1,,,1,8
Teatri Stabili ad Iniziativa Pubblica,,,,,,,,,,,,,,,,,,,,,0
Unioni di Comuni e loro Consorzi e Associazioni,3,,1,1,32,3,6,,34,5,1,22,7,17,2,18,1,1,,20,174
Universita' e Istituti di Istruzione Universitaria Pubblici,3,1,3,4,5,3,4,,7,4,1,3,1,1,2,5,7,2,,3,59
Amministrazioni presenti in IPA che hanno inviato file ,421,228,487,861,845,356,835,361,2377,460,142,1620,645,631,950,745,365,234,107,1137,13807
